learning_rate,optimizer,weight_decay,test_accuracy,train_losses,train_accuracies,val_accuracies
0.0001,adam,0.0,0.984375,"[0.3716339740488264, 0.25470236912369726, 0.0459430285406092, 0.0005898380808199969, 0.0006106148763794611, 0.062302014028354176, 0.008869811285209531, 0.02903325720922617, 0.05684230722124792, 0.00024564946435121885]","[0.8319444444444445, 0.8909722222222223, 0.9805555555555555, 1.0, 1.0, 0.98125, 0.9972222222222222, 0.9881944444444445, 0.9861111111111112, 1.0]","[0.9722222222222222, 1.0, 0.9861111111111112, 1.0, 0.9861111111111112, 1.0, 0.9791666666666666, 1.0, 0.9583333333333334, 1.0]"
0.0001,adam,0.0001,0.9947916666666666,"[0.3427791403399573, 0.17079262563751804, 0.14824126503533788, 0.01652326915096233, 0.008985032726680704, 0.011762947076608219, 0.00014430602944533652, 5.297998371437037e-05, 0.0015846015250847107, 0.16765722615224757]","[0.8597222222222223, 0.9326388888888889, 0.95, 0.9965277777777778, 0.9958333333333333, 0.9951388888888889, 1.0, 1.0, 0.9993055555555556, 0.94375]","[0.75, 0.9930555555555556, 1.0, 1.0, 0.8055555555555556, 1.0, 1.0, 0.9930555555555556, 0.9722222222222222, 1.0]"
0.0001,adam,0.001,0.9739583333333334,"[0.3640664496355587, 0.25257247431824603, 0.09052520661304395, 0.012045162255203145, 0.009137170889961353, 0.0010730357580137529, 4.456770132795403e-05, 3.252828620235151e-05, 2.5128912673406174e-05, 2.7557758120464213e-05]","[0.8520833333333333, 0.9041666666666667, 0.9680555555555556, 0.9958333333333333, 0.9972222222222222, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8611111111111112, 0.9930555555555556, 0.9166666666666666, 0.9791666666666666, 1.0, 1.0, 0.9930555555555556, 0.9930555555555556, 0.9930555555555556, 0.9930555555555556]"
0.0001,sgd,0.0,0.9427083333333334,"[0.6736737728118897, 0.5020060294204288, 0.21569420794645947, 0.0799423601064417, 0.03814373680700858, 0.01693273647170928, 0.01728015219171842, 0.011960877454839647, 0.0027981630591158236, 0.001053390937158838]","[0.5784722222222223, 0.7909722222222222, 0.9194444444444444, 0.975, 0.9909722222222223, 0.9972222222222222, 0.9944444444444445, 0.9958333333333333, 1.0, 1.0]","[0.4583333333333333, 0.9583333333333334, 1.0, 0.9791666666666666, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0.0001,sgd,0.0001,0.9791666666666666,"[0.6579146173265246, 0.43321856326527064, 0.13614621276242866, 0.03336514413563742, 0.014988833495105306, 0.006617543284988238, 0.004486777141897214, 0.0019662080125676263, 0.0011598753303082453, 0.0017904128465387557]","[0.6006944444444444, 0.8104166666666667, 0.95625, 0.9944444444444445, 0.9965277777777778, 0.9979166666666667, 1.0, 1.0, 1.0, 1.0]","[0.6180555555555556, 0.9930555555555556, 0.9722222222222222, 1.0, 0.9722222222222222, 0.9930555555555556, 0.9652777777777778, 0.9652777777777778, 0.9791666666666666, 0.9861111111111112]"
0.0001,sgd,0.001,0.90625,"[0.6567669974433051, 0.4071473542186949, 0.13456091288891103, 0.0592894967024525, 0.01320859351609316, 0.0058218129005076155, 0.0063862983383134835, 0.004454598596526517, 0.0063454164424911145, 0.0023257149163530104]","[0.6076388888888888, 0.8611111111111112, 0.9506944444444444, 0.9770833333333333, 0.9986111111111111, 1.0, 0.9986111111111111, 0.9993055555555556, 0.9993055555555556, 1.0]","[0.7986111111111112, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9930555555555556, 0.9930555555555556]"
0.0001,adamw,0.0,0.9895833333333334,"[0.3482050715221299, 0.16247848618465166, 0.029648815096152248, 0.046498704171648975, 0.0001905009214776025, 3.383432902208167e-05, 2.5517568181183177e-05, 2.7322100181158427e-05, 1.4089212845647125e-05, 9.972920154016013e-06]","[0.8451388888888889, 0.9368055555555556, 0.9895833333333334, 0.9854166666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6388888888888888, 0.9861111111111112, 0.9305555555555556, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0.0001,adamw,0.0001,0.9479166666666666,"[0.3302327661050691, 0.34052591828836337, 0.05417952862982121, 0.022967657209179985, 0.024491273580578208, 0.02172180338432857, 0.00018786671223804458, 7.313666707583858e-05, 4.6133986607957116e-05, 3.809225504988313e-05]","[0.8597222222222223, 0.8798611111111111, 0.9840277777777777, 0.9895833333333334, 0.9888888888888889, 0.9895833333333334, 1.0, 1.0, 1.0, 1.0]","[0.9930555555555556, 1.0, 0.9583333333333334, 0.9791666666666666, 0.6388888888888888, 1.0, 1.0, 1.0, 1.0, 1.0]"
0.0001,adamw,0.001,0.9583333333333334,"[0.31365526310271685, 0.14500995654768, 0.022100697270555733, 0.06783377418566185, 0.05635806817655167, 0.0003895892909996393, 4.616226550650835e-05, 3.543045044756986e-05, 2.4042715409046244e-05, 2.1147122444947146e-05]","[0.8770833333333333, 0.9375, 0.9923611111111111, 0.9763888888888889, 0.9833333333333333, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9097222222222222, 0.9722222222222222, 0.9861111111111112, 0.9930555555555556, 0.9722222222222222, 0.9930555555555556, 0.9930555555555556, 0.9930555555555556, 0.9930555555555556, 0.9930555555555556]"
0.0005,adam,0.0,0.9166666666666666,"[0.19651862730582556, 1.2568705393208397, 0.6663715713553958, 0.6180764589044783, 0.47197017272313435, 0.4548570824993981, 0.484594241115782, 0.45919743643866645, 0.41986842321025003, 0.36612030631966064]","[0.9166666666666666, 0.5368055555555555, 0.5854166666666667, 0.6638888888888889, 0.7541666666666667, 0.7520833333333333, 0.7395833333333334, 0.7597222222222222, 0.7680555555555556, 0.8013888888888889]","[0.9166666666666666, 0.5555555555555556, 0.5555555555555556, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.5694444444444444, 0.9166666666666666, 0.8888888888888888, 0.9722222222222222]"
